name,age,sex,description,images
Sasha,Approx. 2 years old,F,"Sasha was rescued with a litter of kittens a couple of years ago, and now it is time for her to find a fur-ever home that all cats desire. She is a tricolor tabby with plenty of fluffy white fur on her belly, making belly rubs so addictive if Sasha is game. Sasha is gentle, so she is very adoptable and there should be no personality issues to adjust to after adopting her. Still, a loving adopter or foster parent is wise to give Sasha time to get comfortable to their home; show Sasha your sweet side and give her treats to reinforce that you love her. The rewards to showing her love are worth the choice of letting her in your home sweet home. Welcome Sasha, and home sweet home will never be the same without her again.","['https://paws.org.ph/wp-content/uploads/2023/05/SASHA-F-scaled-e1684201128741-1024x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110402-scaled-e1684200687488-1024x1024.jpg']"
Whitey,Approx. 6 years old,M,"Whitey may have looked like a healthy and happy stray dog, but in truth, he was in great pain. Someone attempted to castrate this poor boy by tying a rubber band tightly around his testicles. Thankfully, he received treatment at the shelter and is now fully recovered. Whitey is learning to trust humans again, and now he’s looking for a strong pack leader to give him a home.","['https://paws.org.ph/wp-content/uploads/2023/03/Whitey-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/03/Adopt-Whitey-1024x1024.jpg']"
Meldy,Approx. 1 year old,F,"If you are the type of dog owner that wants a 1-yr-old female Aspin that stays quiet at home, try to get to know Meldy. Meldy may be skittish and easily excited or nervous, but with the right home, she will calm down and get used to the love and care of a quiet human. Retirees will love Meldy as she can be a solo dog who stays indoors all the time. Meldy will bark and alert her owners to intruders, as she is sensitive and easily anxious. The rest of the time, she will stay at home with her loving human parents and wait for pets and treats. Take a chance on Meldy, our female Scooby Doo.","['https://paws.org.ph/wp-content/uploads/2023/05/MELDY-8-1-21-576x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20220912_140255-scaled-e1684380671655-1024x1024.jpg']"
Haley,Approx. 4 years old,F,"When Haley, a hit and run victim, was found underneath a parked car, our volunteer rescuers were unsure if she would make it. After being treated for her injuries, our shelter vet was unsure if she would walk again. Haley also remained aloof for a while, and we were unsure if she would ever get over her fear. Well, Haley put all our uncertainties to rest by bouncing back and being one of the friendliest dogs at the shelter. We’re SURE that she’ll make the best canine companion ever!","['https://paws.org.ph/wp-content/uploads/2023/02/Haley-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/02/Adopt-Haley-1024x1024.jpg']"
Lucy,Approx. 9 years old,F,"We know that there are loving cat owners out there who are eagerly looking to foster or adopt a cat in desperate need of a home. Make Lucy, a senior female Puspin that has been with us since 2013, your best move. She is raring for a loving single person, couple, or family and promises to be well-behaved as she is no longer an energetic, playful kitten. Think: senior pets are some of the best choices for fur-ever friends. They love cuddles and belly rubs. They are affectionate without being too needy. And they warm up to owners quickly after being adopted. Make Lucy your first choice if you need a well-behaved, house-broken cat. She will shower you with love and gratitude the same.","['https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_111123-scaled-e1684132020557-1024x1024.jpg']"
Cow,Approx. 4 years old,M,"Cow is a male Puspin that has resided in PAWS since 2019 and littermates of Cleo and needs a foster or adopter desperately. Cats that have lived in the shelter for some time deserve the most chance to get people’s notice as they are the likeliest to be loving and affectionate in their new environments with their humans. Cow will purr, beg for rubs and treats and jump on your lap to rub his face against you with so much excitement, you’ll swear he was thanking you for rescuing him. If he gets the idea that he needs to be chill and just relax while you spend your day working, Cow will wait until you’re ready. Be it a BFF or fur-ever family member, Cow is an investment in love. Get to know him at our cattery. He’s waiting.","['https://paws.org.ph/wp-content/uploads/2023/05/20200623_082715-scaled-e1684132619554-1024x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_111027-scaled-e1684132381399-1024x1024.jpg']"
Novy,Approx. 3 years old,F,"Our cattery has lots of wonderful examples of cats that can shine a light in your house with a radiant personality. Enter Novy, a cat that has been with us since 2019 and needs a loving family or single owner with a boundless love for felines. Cat owners need only spend some time with Novy and play with her to find out that she loves to interact with humans. Whether perched on her cat bed or sitting with you on your couch as you watch movies, Novy can give you animal companionship without fail or regret. She is well-behaved and gentle and seeks only you, devoted cat lover, for a charmed life as your latest family member.","['https://paws.org.ph/wp-content/uploads/2023/05/74338954_737622343381632_5567664941592215552_n.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_105940-scaled-e1684200377134-1024x1024.jpg']"
Banoi,Approx. 5 years old,F,"When Banoi shows you her happy face, you will surely be won over with delight. A 5-yr-old Aspin rescued in Marikina City during typhoon Ulysees, Banoi has been through difficulties in her life, but it does not change her friendly temperament. She loves pets and goes crazy for treats. She’s a happy, friendly dog who is also quite chill and not overly needy.","['https://paws.org.ph/wp-content/uploads/2023/05/Adopt-Banoi-1.jpg']"
Tiki,Approx. 3 years old,M,"Thanks to a concerned citizen’s report, Tiki was not killed for “pulutan” (food usually paired with alcoholic drink). Barangay officers foiled plans of construction workers who were about to slaughter him and criminal charges were filed by PAWS. Tiki remained a sweet, loving dog all throughout his ordeal -where he was only given scraps for food and drank rain water from a puddle near his chained area. When he was rescued, he wagged his tail non-stop and was very excited to get into the vehicle that would take him to the PAWS shelter. Tiki holds no grudges and wants to be friends with everyone he meets for the first time. he epitomizes the saying. ” To err is human, to forgive, canine” and reminds us why we should all work together to end the cruel and illegal dog meat trade in our country.","['https://paws.org.ph/wp-content/uploads/2023/12/adopt-tiki1.jpg', 'https://paws.org.ph/wp-content/uploads/2023/12/Adopt-Tiki.jpg']"
Heath,Approx. 6 years old,M,"Heath was rescued as a kitten in 2016 from a construction site. Two of his siblings were already unresponsive from heatstroke.Now a fully-grown orange tabby ready for a fur-ever home, Heath is dreaming of human parents and siblings who will enjoy his company. Heath wants to be an indoor cat with a house to hide in, high places to climb and poles to scratch. If you want to leave him to his cat bed, that’s fine too. Mostly, Heath just wants a human family to nurture him and love him more than a shelter with limited resources can devote.Be that person who takes Heath in and gives him a loving fur-ever home. You and Heath will be overjoyed to have one another.","['https://paws.org.ph/wp-content/uploads/2023/05/Heath-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Adopt-Heath-2.jpg']"
Cornelia,Approx. 2 years old,F,"Cornelia was a stray kitten in Barangka, Marikina. She had a serious eye injury and she knew that she needed to be rescued. On that lucky day, a PAWS caretaker was walking on his way to the shelter and Cornelia decided to follow him. The PAWS vet could no longer save her eye, but she’s now a healthy little girl with a zest for life.","['https://paws.org.ph/wp-content/uploads/2022/12/Adopt-Cornelia.jpg', 'https://paws.org.ph/wp-content/uploads/2022/12/Cornelia-Before.jpg']"
Friendly,Approx. 1 year old,F,"“We should call her Friendly!” was the shared sentiment when this sweet cat was fostered after having been found as an abandoned kitten on Barangka Bridge. Following fostering protocol, her paw-rents kept her in a guest bedroom until it was safe to let her meet the other foster kittens. Despite her isolation, Friendly was the chattiest and most affectionate little kitty – at least when it came to humans. With other cats, it’s another story altogether, so we recommend Friendly for solo cat households only.","['https://paws.org.ph/wp-content/uploads/2023/01/Adopt-Friendly.jpg']"
Skyler,Approx. 2 years old,M,"Just like his sibling who was rescued a couple of years ago, Skyler is a white male Puspin looking for a fur-ever home filled with warmth. Skyler’s most unique trait is his one odd eye. In fact, his eyes look different. They have different colors. No matter the disparity and uniqueness, Skyler is just like any cat who needs love and warmth. Use your soothing voice to call his name, and reward him with a treat when he responds. Skyler will become unique to you after you spend time with him at our cattery and he imprints with you after a good time. Cats are smart and they remember a loving human, so be that owner who he never forgets. Visit him today and get an unforgettable best friend.","['https://paws.org.ph/wp-content/uploads/2023/05/181621037_479982146389644_5018408232944869629_n-e1684202541320-1024x622.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110226-scaled-e1684202693703-1024x1024.jpg']"
Bridget Boy,Approx. 3 years old,M,"Okay, so Bridget is male and was only named Bridget because he was found at St. Bridget School, Quezon City, not because he identifies as a female cat (and there’s nothing wrong with that!) Kidding aside, some people love orange tabbies and can’t get enough of them, so PAWS presents yet another example of this type of appealing housecat with the orange and white fur.Bridget is timid and looks tired, so grab some cat toys or treats to perk him up. Cat owners who love cats jumping on the kitchen counters to join in for meal preparations will love Bridget Boy and his curious hunger for culinary treats. But he also has his bored, lazy cat moments, that is, until you invite him to play and cuddle.","['https://paws.org.ph/wp-content/uploads/2023/05/Bridget-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Adopt-Bridget.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Bridget-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Adopt-Bridget.jpg']"
Cleo,Approx. 4 years old,M,"Once a kitten who has been with us since 2019 and littermates of Cow and now a full-grown cat that needs an adopter or foster, Cleo seeks a home to ease his worries about living in a shelter where he doesn’t get the devotion he needs on a one-on-one basis. What a long way a loving home does for an animal anxious about the environment at a shelter. Even if Cleo has resided in PAWS for more than two years, his anxiety about finding a fur-ever home increases annually, so we’re doing what we can to change that. Cleo is in the cattery here at PAWS for anyone who wants to play with him and get to know him. Cleo just needs time with a cat lover who wants to bring out the best in him. So, what once was a kitten, now a full-grown cat and a candidate for the best decision you’ve ever made, make Cleo among your list of male Puspins to see here.","['https://paws.org.ph/wp-content/uploads/2023/05/20200623_082554-scaled-e1684132854413-1024x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_111159-scaled-e1684132765839-1024x1024.jpg']"
Foggy,Approx. 2.5 years old,M,"Foggy is the last of his litter: nicknamed the Bad Weather Boys, after the inclement conditions under which they were rescued in Loyola Memorial Park. Because Foggy was more aloof than his brothers, Drizzle and Blaze, he remained in our Feline Quarantine section well into his adulthood. Deprived of exercise and comforted with unlimited food, Foggy grew into the feline equivalent of a “Dad bod”.","['https://paws.org.ph/wp-content/uploads/2023/01/Foggy-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/01/Adopt-Foggy.jpeg']"
Pumi,Approx. 3 years old,F,Pumi was rescued by a celebrity supporter of PAWS who spotted the poor dog inside a barangay pound cage while she was shooting a television show. Pumi is shy and gentle but she is easily startled by loud noises. We are looking for someone who understands that overcoming traumatic life experiences is tough and may take time; someone who can assure Pumi that she will always be safe and that she will never be abandoned,"['https://paws.org.ph/wp-content/uploads/2023/12/Adopt-Pumi-1.jpg', 'https://paws.org.ph/wp-content/uploads/2023/12/Adopt-Pumi.jpg']"
Sawyer,Approx. 2 years old,M,"Some people like black cats while some LOVE white cats! Sawyer is a white Puspin and recent rescue along with a litter of kittens. Sawyer is male and loves to play with mice toys. He will climb perches with dexterity and chase after mice in your home like an expert hunter. Sawyer could really use a loving family or faithful single owner BFF. What more could a cat want than a comfortable home and delicious meals, regular vet appointments, belly rubs, petting, and treats? Sawyer could make a teen girl’s dreams of a BFF without hitches come true. In fact, no matter how young or old, Sawyer’s owner could use his touch at loving companionship.","['https://paws.org.ph/wp-content/uploads/2023/05/181458540_1426333004388498_7817745289795203997_n-e1684202185896-768x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110434-scaled-e1684201438524-1024x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110434-scaled-e1684201438524-1024x1024.jpg']"
Post,Approx. 1 year old,M,"Just like a Facebook post by a pal, Post is easy to heart or like. He is a smart, trainable 1-yr-old Aspin who is still a bit skittish in unfamiliar surroundings. But just give him some time and love, and Post will show you his true, affectionate self.Post was just recently rescued is a post office and we hope that he doesn’t wait too long for forever. He desperately needs a buddy or a family that will shower him with warmth and assure him that all is well in the world.We know that somewhere out there, there’s a human that can make him smile more often and show him that he has nothing to fear. We hope they get to meet at the PAWS shelter someday!","['https://paws.org.ph/wp-content/uploads/2023/05/Post-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Adopt-Post-1024x1024.jpg']"
JL,Approx. 6 years old,M,"Known as our Mr. Heartthrob at the shelter, it’s been five long years since we first rescued this curious little kitten who was wandering alone on a busy street. John Lloyd or JL, as he is fondly called, loves to give hugs to anyone willing to receive them.","['https://paws.org.ph/wp-content/uploads/2023/02/JL-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/02/Adopt-JL-1024x1024.jpg']"
Arya,Approx. 5 years old,F,"Arya was rescued as an unweaned kitten in Quezon City. She is one of the shy girls of the PAWS Cattery. She usually shadows visitors and adopters, but would not dare to crawl into anyone’s lap or allow more than a few short heads scritches. This has made it difficult for her to find her fur-ever home.","['https://paws.org.ph/wp-content/uploads/2022/12/Arya-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2022/12/Adopt-Arya-1024x1024.jpg']"
Shadow,Approx. 5 years old,M,"Shadow was rescued in Antipolo City since she was a kitten, He has colds and ocular discharge when we was rescued. So do you want a tuxedo cat with white fur and black markings? Pick Shadow, the friendliest fur-pal this side of the archipelago. Pick him up and feed him treats to get him used to your affectionate side.","['https://paws.org.ph/wp-content/uploads/2023/07/35355023_457701298013210_7535812071233945600_n-e1689406671836.jpg', 'https://paws.org.ph/wp-content/uploads/2023/07/DSC_0057-scaled-e1689406543973-1024x994.jpg']"
Laura,Approx. X years old,F,"Laura was rescued as a kitten together with her siblings. She can be a bit aloof when you first meet her, but after a little bit of playtime, treats and attention, you can surely see her sweet and playful side. Her three fur-brothers have all found their families and she hopes she’ll find hers soon.","['https://paws.org.ph/wp-content/uploads/2023/03/Laura-Before-576x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/03/Adopt-Laura-1024x1024.jpg']"
Tender,Approx. 7 years ol,M,Tender was rescued with his littermate Cole when they were kittens. Tender is independent but can also be very clingy and affectionate – just in perfectly right doses. Give Tender a place to perch and he’ll leave you alone while you’re busy working. Invite him on your lap and he will happily purr while getting his ear scratched.,"['https://paws.org.ph/wp-content/uploads/2023/07/20161124_141333-576x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/07/PAWS-0973-e1691740424473-1024x1024.jpg']"
Princess Anna,Approx. 6 years old,F,"Princess Anna is a female Puspin that has been with us since 2017 and could really use a cat lover to grant her wish for a once-in-a-lifetime fur-ever home. She is a tricolor tabby with fluffy, white belly fur, making it all the better to belly rub her whenever she wishes. She likes to lie around your house and follow you as you cook meals. She will follow you to the couch and purr on your belly as you relax and watch TV. Princess Anna is a princess because she will be the fairest feline in your house, so make the wise move of setting an appointment to get to know her at our cattery today. You won’t be disappointed.","['https://paws.org.ph/wp-content/uploads/2023/05/20170807_150952-576x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/Copy-of-A-scaled-e1684204199329-1024x1024.jpg']"
IG,Approx. 2 years old,M,"IG is photogenic, We named him after a social media platform. IG was rescued by the caretakers at our shelter after he followed them home one day and he also has eye misalignment that makes him more cute. it’s your turn to be fortunate to have IG in your family. We’ll be ready with the cat toys; you be ready to play. IG is here, waiting.","['https://paws.org.ph/wp-content/uploads/2023/08/IMG_20220812_091712-scaled-e1692261983396-897x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/08/PAWS-9944-e1693643863185-1024x1024.jpg']"
Walter White,Approx. 2 years old,M,"Walter White was not yet born when he was rescued. That’s right! His momma, Menchie, was rescued inside UP Campus when she was pregnant. Because of Walter White’s shy nature, he’s the only one of his siblings still at the shelter. We hope that someone out there is willing to be his patient and dedicated best friend to help him become the friendly and playful doggo that he’s meant to be.","['https://paws.org.ph/wp-content/uploads/2023/03/Walter-White-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/03/Adopt-Walter-White-1024x1024.jpg']"
Magdalena,Approx. 2 years old,F,"Magdalena or sometimes we called her “Magda” was rescued from Gilmore at Carmel of St. Therese of the Child Jesus along with her 4 babies namely: Josiah, Jonas and Ezra, Ezekiel. She’s small aspin with Bob tail. Magda is friendly and well-behaved dog that fits to your house.","['https://paws.org.ph/wp-content/uploads/2023/08/352785284_176477661783185_1184777540119750259_n-e1692924888808-1024x911.jpg', 'https://paws.org.ph/wp-content/uploads/2023/08/DSC_0590-scaled-e1692924690740-953x1024.jpg']"
Momo,Approx. 10 years old,F,"Senior cats make for great pets. Just think: you don’t need to give them too much time to decompress. They have endless reserves of patience if you’re busy during the day at work. In fact, they may snuggle in their cat bed and wait for you to pick them up after a long, busy workday and choose to do little else. They seem to be grateful with a comfortable house, delicious cat food and whatever time you have during the day to give them rubs or treats. This all makes for one wonderful conclusion: you won’t regret getting the senior cat of your dreams. Adopt Momo, who has been with us since 2012 and hasn’t given up on luck finding you.","['https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110727-scaled-e1684199372543-1024x1024.jpg']"
Alice,Approx. 2 years old,F,"Cuteness overload! if you have tons of time to spend playing with Alice with plenty of curiosity, and if you want to shower one with love and affection, adopt Alice. PAWS needs to find her a good home, a fur-ever home, not a home that loves her while she’s little. When she’s a full-grown cat and more mature, Alice will still be by your side… through thick and thin.","['https://paws.org.ph/wp-content/uploads/2024/05/278060564_349295907155829_5531989876024224378_n-e1715307022701-225x300.jpg', 'https://paws.org.ph/wp-content/uploads/2024/05/Alice-2-1-e1719042275479-1024x768.jpeg']"
Lot,Approx. 2 years old,M,"Lot, a gray tabby Puspin, At a young age he suffered a “lot” because he was rescued in Makati City with injured leg and malnourished. After receiving all the treatment. He is now ready to light up your home. Can you give him a fur-ever home?","['https://paws.org.ph/wp-content/uploads/2023/10/Adopt-Lot.jpg', 'https://paws.org.ph/wp-content/uploads/2023/10/Adopt-Lot-.jpg']"
Tala,Approx. 4 years old,M,"Oh, sweet feline, Tala, the cat of our dreams, we here at PAWS love you just like our other cats. However, we need to save other cats in need, so this is where cat lovers out there come in. Please save Tala. Give Tala a loving home to cherish for life and we will have more precious space to devote to rehabilitating other animals in need. Tala was rescued at the recent Taal eruption, and it’s a good thing he’s with us today. Do your part and reap the benefit of adopting a true fur-ever loving companion—Tala, the sweet, loving feline with the friendly face.","['https://paws.org.ph/wp-content/uploads/2023/05/IMG_20230515_110717-768x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/05/IMG_20220321_131149-scaled-e1684202980434-1024x1024.jpg']"
Mita,Approx. 5 years old,F,"PAWS rescued Mita at Ermita Center after she had wounds in some parts of her body. A small dog who is quiet and adorably well-behaved, Mita is an Aspin that shows discreet affection and is perfect for someone who wants a well-rounded, well-behaved companion.","['https://paws.org.ph/wp-content/uploads/2023/08/313914846_1564596547346218_4892034563403829429_n-e1692925748132-902x1024.jpg', 'https://paws.org.ph/wp-content/uploads/2023/08/1691207856784-scaled-e1692925591960-931x1024.jpg']"
Eagle,Approx. 4 years old,M,"Oh lawd, he comin’! Every year, a number of shelter cats compete to be named the Chonk Champion; but our staff and volunteers know that there can only be one! It is himb: Eagle! Only stronk adopters need apply for not everyone can bear all 8 kilos of this luscious oramge boy. And you will need to lift himb, especially when he begins to attacc himb’s food – and trust that he will attacc!","['https://paws.org.ph/wp-content/uploads/2023/03/Adopt-Eagle-1024x1024.jpg']"
Menchie,Approx. 9 years old,F,Menchie was seen wandering around UP Campus with an electrical wire wound tightly around her neck. It wasn’t obvious at the time of rescue but she was also pregnant and gave birth immediately after being rescued. She is a very calm and gentle senior dog who gets along with everyone.,"['https://paws.org.ph/wp-content/uploads/2022/12/Menchie-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2022/12/Adopt-Menchie-1-1024x1024.jpg']"
Tali,Approx. 3 years old,F,"If you look closely at her “before” photo, you’ll see a deep line around her neck that looks like a collar. That is in fact a deep laceration caused by a rope tightly wound around her neck. The close up photos are a bit too graphic to post. No wonder she was cowering inside a box and hiding from our volunteers when she was rescued. Until now, it will take a bit of time and patience for new people to earn her trust.","['https://paws.org.ph/wp-content/uploads/2022/12/Tali-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2022/12/Adopt-Tali.jpg']"
Usagi,Approx. 2 years old,F,Usagi belongs to a litter of 5 puppies called the “Sailor Moon pups.” They were found wandering near the Manila Bay area during the lockdown in 2021. She is a friendly and energetic pup looking for someone to be her constant companion.,"['https://paws.org.ph/wp-content/uploads/2023/02/Usagi-Before.jpg', 'https://paws.org.ph/wp-content/uploads/2023/02/IMG_7676-scaled-e1687160188364-1024x1019.jpg']"
Tiktok,Approx. 2 years old,M,Tiktok was rescued in Brgy Pansol in Quezon City. We know what you’re thinking. Could this cat be trending viral in some reel or video somewhere? Maybe not. But this here cat with the popular name has a heart to make up for his lack of fame. Blinded in one eye after incurring an injury as a kitten. He will use his cat sense even more if you are feeling ill or depressed.,"['https://paws.org.ph/wp-content/uploads/2023/08/PAWS-9841-e1692255960472-1024x872.jpg']"
